MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
-7.648	-9.724	11.297	-11.426	-3.432	-19.736	13.055	13.710	7.785	7.458	6.148	3.923	-1.121	6.429	-5.856	2.220
-10.644	-7.723	12.288	-14.428	-4.432	-21.736	8.060	5.699	1.782	7.459	4.145	0.932	-0.130	8.424	-3.850	2.213
-12.640	-6.722	12.278	-17.429	-5.433	-22.736	5.065	-3.312	1.779	10.461	1.141	-2.059	-0.140	9.419	-3.845	1.205
-12.636	-3.721	12.269	-23.431	-5.433	-22.735	2.070	-22.322	-4.224	13.463	-0.863	-4.051	0.851	10.414	-3.840	-1.802
-12.632	-0.720	11.259	-24.432	-7.434	-20.735	2.075	-29.333	-4.227	14.465	-3.866	-4.042	1.841	10.408	-3.835	-3.809
-11.628	3.281	7.249	-24.434	-9.434	-20.735	-2.920	-29.344	-10.229	14.466	-10.870	-4.033	4.832	10.403	-3.830	-5.817
-7.624	6.281	6.240	-24.435	-10.435	-15.734	-4.915	-38.354	-12.232	15.468	-13.874	-2.025	4.823	10.398	-3.825	-6.824
-4.620	9.282	4.230	-22.436	-11.435	-12.734	-6.909	-40.365	-12.235	13.470	-16.877	0.984	7.813	9.393	-4.819	-7.832
-1.616	12.283	2.221	-20.438	-12.436	-9.733	-7.904	-39.375	-13.238	11.471	-16.881	2.993	7.804	8.388	-4.814	-8.839
0.388	14.284	1.211	-17.439	-13.436	-6.733	-8.899	-37.386	-14.241	9.473	-21.885	6.001	10.795	8.382	-4.809	-9.846
2.391	16.285	1.202	-14.440	-14.437	-3.733	-7.894	-33.397	-14.244	7.475	-23.888	8.010	11.785	7.377	-5.804	-9.854
4.395	16.286	1.192	-10.442	-15.437	-1.732	-7.889	-27.407	-12.247	4.476	-25.892	9.019	12.776	6.372	-5.799	-9.861
5.399	15.286	1.183	-6.443	-15.437	0.268	-6.884	-21.418	-10.250	1.478	-25.896	10.027	13.767	5.367	-4.794	-9.869
5.403	15.287	2.173	-3.445	-16.438	1.269	-5.879	-15.429	-7.253	-0.520	-25.899	11.036	14.757	3.362	-4.788	-9.876
4.407	11.288	3.163	2.554	-16.438	2.269	-4.874	-10.439	-4.256	-3.518	-25.903	11.045	14.748	1.356	-3.783	-9.883
3.411	8.289	4.154	3.553	-16.439	1.269	-3.869	-4.450	-1.259	-5.517	-23.907	10.053	14.739	-0.649	-2.778	-9.891
1.415	6.290	7.144	3.551	-15.439	1.270	-1.863	-0.461	1.738	-7.515	-20.910	10.062	13.729	-2.654	-0.773	-9.898
