# MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
-4.850247705748444993e-02	9.721403875234481406e-02	-1.945969433197623083e-02	-9.693246555699381456e-03	-6.212776951464404201e-02	7.227480036715965006e-02	-5.569992339344749521e-02	3.324931024846020794e-04	5.609796378664161365e-02	3.280644429155501335e-02	5.745118651462683551e-02	-2.980175592744143190e-02	-9.818034034974956747e-03	-2.750654913943316113e-02	1.103414919951718337e-01	-2.924275526021141366e-02
2.155659165622710038e-02	1.718965922587134543e-02	-6.307172252743167840e-02	6.651919434716657697e-03	-6.658237824362686630e-02	6.321383527876858754e-02	2.221873945143999600e-03	-8.555199800443570243e-03	-4.219260906103371872e-03	6.361975890203218353e-02	-6.815862634102556883e-02	3.629931198075470825e-03	-7.863583622022683739e-02	4.947501144849491411e-02	-1.851974894968797317e-02	-2.228797243526364422e-02
1.404198896810766525e-02	-2.849609501848653775e-02	-4.561573062204727497e-02	8.471619074817357542e-02	2.082659898474769483e-02	9.226240499308016596e-02	-4.357960815747370653e-02	7.742448011240722627e-02	4.719645215990991849e-02	3.909634088114501138e-02	1.005060823531888914e-01	-6.965343620217577525e-02	4.692154290739435074e-02	-1.313650092226561344e-02	-7.939649519394803567e-02	3.495097212200207887e-03
-2.615762884186641560e-02	-2.491962189575197897e-02	6.385827987642329895e-02	2.343088618323160496e-02	-1.022080235422971467e-01	-5.263457370163351912e-02	-1.080644810852957743e-02	-1.340939677135371925e-02	8.563633425716308742e-03	5.508323028312368808e-02	-8.413541056715954924e-03	4.032383188083164122e-03	-3.132109665362100420e-02	-2.797345420257076401e-02	-7.028037592234230579e-02	4.037238874706495367e-02
1.663656730260795052e-02	-9.501954614038684438e-03	9.601530112353331980e-02	-4.865189286589798739e-02	-4.458633960190352269e-02	-1.045945496685626863e-01	-2.325380408058139517e-03	-5.062146972637122933e-02	9.612478347619428723e-03	6.308031199638998443e-02	5.751730401049794106e-02	-5.673599891824628559e-03	7.927500037480852968e-02	3.985300392961645122e-02	7.040441675627645557e-02	-4.343409018977171382e-02
2.101525638183338734e-02	-1.814207911398659639e-02	1.851431630336855191e-02	-4.831667633103042814e-02	1.844394919927662413e-02	-8.633465761067218858e-02	1.130797106063287719e-02	-1.443505074840421495e-03	-6.204201455630896367e-02	7.027492080851882247e-03	2.948080264431236427e-02	5.758614021471995803e-02	-1.666221329333879286e-02	-3.355242228320622772e-02	7.638620672417967272e-03	2.813383443467928208e-02
-2.581362915788802323e-02	7.994030761536423391e-03	-4.952840576803188566e-02	-1.333822431712997081e-02	-1.670649723551330401e-02	4.278693165871488846e-02	9.481701508503071613e-03	-2.045977502131077208e-02	-2.073430544634986827e-02	6.923051260396072271e-02	1.535692298464775077e-02	-7.349907473718528955e-03	2.710591771064312441e-02	4.141709519032946846e-02	-1.236059416320058058e-02	-6.136601208022233328e-02
-2.399822879359887404e-02	-3.235829428751061960e-03	3.936165930003844571e-02	-8.358404233635773062e-02	4.821001984905713689e-02	-1.088303066871922631e-01	1.030427656345736381e-01	-2.606023175546903423e-02	1.246338635318585200e-02	4.205446957865882629e-02	3.491792633687661011e-03	-5.521044734043276808e-02	4.919271464533191141e-02	5.613836286486693222e-02	-3.247021906853228557e-02	9.439426435775689905e-02
3.350239037656951857e-02	-4.251756229835566836e-02	4.425336089774287857e-02	-5.567995624700749352e-02	4.440138578285396376e-02	8.622859560356726377e-03	6.626988662243668560e-02	-1.050041323971702412e-02	8.861586797632162865e-03	1.499756072722867595e-01	9.121588870831117205e-03	5.063323783112543344e-03	1.022975907015538123e-02	-4.633106539459977413e-02	-6.626069757205151067e-02	-1.542843615610771379e-02
1.758360073023885681e-02	-2.185765449956933795e-02	5.688283491378610945e-02	8.609740214590956564e-02	3.247508737971360748e-02	-1.134937981683342284e-01	-3.481382831259224875e-02	3.049940009160035520e-02	1.801621903862539453e-02	-8.511162022496758864e-03	1.317498891126255012e-02	2.039037110231501498e-04	-8.329524423094336605e-02	-4.082665911930958430e-02	1.632673626538932998e-02	4.113290212105313176e-02
